bigram,freq
"('der', 'kleine')",134
"('kleine', 'prinz')",133
"('sagte', 'der')",97
"('das', 'ist')",49
"('ich', 'habe')",40
"('es', 'ist')",35
"('ich', 'bin')",34
"('kleinen', 'prinzen')",29
"('sagte', 'er')",29
"('und', 'ich')",27
"('der', 'fuchs')",24
"('der', 'könig')",21
"('ich', 'war')",20
"('aber', 'er')",20
"('er', 'sich')",20
"('guten', 'tag')",20
"('ich', 'werde')",19
"('du', 'wirst')",19
"('aber', 'ich')",18
"('ein', 'bisschen')",17
"('in', 'der')",17
"('und', 'er')",17
"('wenn', 'du')",17
"('auf', 'der')",16
"('wie', 'ein')",15
"('der', 'erde')",15
"('der', 'geograph')",15
"('habe', 'ich')",14
"('und', 'der')",14
"('den', 'kleinen')",14
"('eine', 'blume')",14
"('die', 'blume')",14
"('die', 'sterne')",14
"('die', 'menschen')",14
"('ist', 'es')",13
"('wenn', 'man')",13
"('du', 'bist')",13
"('und', 'sie')",13
"('als', 'ich')",12
"('mit', 'dem')",12
"('ein', 'schaf')",12
"('dass', 'ich')",12
"('es', 'nicht')",12
"('dass', 'er')",12
"('sich', 'der')",12
"('auf', 'die')",12
"('mich', 'nicht')",11
"('und', 'die')",11
"('sagte', 'die')",11
"('tag', 'sagte')",11
"('ist', 'die')",11
"('ist', 'das')",10
"('nicht', 'mehr')",10
"('die', 'erwachsenen')",10
"('bei', 'mir')",10
"('ich', 'mich')",10
"('für', 'mich')",10
"('sagte', 'ich')",10
"('mit', 'den')",10
"('antwortete', 'der')",10
"('werde', 'ich')",10
"('die', 'schlange')",10
"('wenn', 'ich')",9
"('die', 'ich')",9
"('ist', 'nicht')",9
"('er', 'antwortete')",9
"('wie', 'die')",9
"('und', 'wenn')",9
"('des', 'kleinen')",9
"('nur', 'ein')",9
"('auf', 'dem')",9
"('auf', 'einem')",9
"('eines', 'tages')",9
"('prinz', 'und')",9
"('um', 'sich')",9
"('er', 'den')",9
"('ich', 'kann')",9
"('ich', 'sie')",9
"('es', 'wird')",9
"('ist', 'ein')",8
"('es', 'sich')",8
"('das', 'schaf')",8
"('aus', 'dem')",8
"('ist', 'so')",8
"('man', 'muss')",8
"('es', 'war')",8
"('wenn', 'er')",8
"('sich', 'auf')",8
"('gibt', 'es')",8
"('du', 'hast')",8
"('er', 'war')",8
"('er', 'sagte')",8
"('fragte', 'der')",8
"('aber', 'du')",8
"('sie', 'sich')",7
"('sich', 'nicht')",7
"('und', 'dann')",7
"('sie', 'haben')",7
"('mir', 'ein')",7
"('der', 'wüste')",7
"('von', 'einer')",7
"('was', 'machst')",7
"('machst', 'du')",7
"('ich', 'nicht')",7
"('ich', 'den')",7
"('zu', 'verstehen')",7
"('als', 'er')",7
"('was', 'ist')",7
"('von', 'einem')",7
"('an', 'der')",7
"('ich', 'dir')",7
"('aber', 'wenn')",7
"('ist', 'er')",7
"('prinz', 'der')",7
"('bei', 'der')",7
"('bin', 'ich')",7
"('und', 'du')",7
"('in', 'den')",7
"('ein', 'wenig')",7
"('sie', 'sind')",7
"('es', 'gibt')",7
"('er', 'ist')",7
"('an', 'und')",7
"('ich', 'sagte')",7
"('aber', 'sie')",7
"('sagte', 'sich')",7
"('der', 'eitle')",7
"('und', 'was')",7
"('die', 'vorschrift')",7
"('der', 'laternenanzünder')",7
