first,second
als,ich
ich,sechs
sechs,jahre
jahre,alt
alt,war
war,habe
habe,ich
ich,in
in,einem
einem,buch
buch,über
über,den
den,urwald
urwald,das
das,den
den,titel
titel,erlebte
erlebte,geschichten
geschichten,trug
trug,das
das,erste
erste,mal
mal,ein
ein,wunderschönes
wunderschönes,bild
bild,gesehen
gesehen,es
es,zeigte
zeigte,eine
eine,riesenschlange
riesenschlange,die
die,ein
ein,wildes
wildes,tier
tier,verschlingt
verschlingt,hier
hier,ist
ist,das
das,bild
bild,mal
mal,nachgezeichnet
nachgezeichnet,im
im,buch
buch,hieß
hieß,es
es,riesenschlangen
riesenschlangen,verschlingen
verschlingen,ihre
ihre,beute
beute,in
in,einem
einem,stück
stück,ohne
ohne,sie
sie,zu
zu,zerkauen
zerkauen,danach
danach,können
können,sie
sie,sich
sich,nicht
nicht,mehr
mehr,bewegen
bewegen,und
und,halten
halten,sechs
sechs,monate
monate,lang
lang,verdauungsschlaf
verdauungsschlaf,so
so,habe
habe,ich
ich,viel
viel,über
über,dschungelabenteuer
dschungelabenteuer,nachgedacht
nachgedacht,und
und,dann
dann,gelang
gelang,mir
mir,mit
mit,einem
einem,farbstift
farbstift,meine
meine,zeichnung
zeichnung,nr
nr,sie
sie,sah
sah,so
so,aus
aus,ich
ich,zeigte
zeigte,mein
mein,meisterwerk
meisterwerk,den
den,erwachsenen
erwachsenen,und
und,habe
habe,sie
sie,gefragt
gefragt,ob
ob,sie
sie,vor
vor,meiner
meiner,zeichnung
zeichnung,angst
angst,hätten
hätten,sie
sie,haben
haben,mir
mir,geantwortet
geantwortet,warum
warum,sollte
sollte,man
man,vor
vor,einem
einem,hut
hut,angst
angst,haben
haben,dabei
dabei,war
war,auf
auf,meinem
meinem,bild
bild,gar
gar,kein
kein,hut
hut,es
es,zeigte
zeigte,eine
eine,riesenschlange
riesenschlange,die
die,einen
einen,elefanten
elefanten,verdaut
verdaut,so
so,habe
habe,ich
ich,also
also,das
das,innere
innere,der
der,schlage
schlage,gezeichnet
gezeichnet,um
um,es
es,den
den,großen
großen,verständlich
verständlich,zu
zu,machen
machen,immer
immer,muss
muss,man
man,ihnen
ihnen,alles
alles,erklären
erklären,meine
meine,zeichnung
zeichnung,nr
nr,sah
sah,so
so,aus
aus,die
die,erwachsenen
erwachsenen,haben
haben,mir
mir,geraten
geraten,mich
mich,nicht
nicht,mehr
mehr,mit
mit,offenen
offenen,oder
oder,geschlossenen
geschlossenen,riesenschlangen
riesenschlangen,zu
zu,beschäftigen
beschäftigen,sondern
sondern,mich
mich,stattdessen
stattdessen,mehr
mehr,für
für,geografie
geografie,geschichte
geschichte,mathe
mathe,und
und,grammatik
grammatik,zu
zu,interessieren
interessieren,so
so,gab
gab,ich
ich,mit
mit,sechs
sechs,jahren
jahren,meine
meine,vielversprechende
vielversprechende,malerkarriere
malerkarriere,auf
auf,derart
derart,entmutigt
entmutigt,war
war,ich
ich,vom
vom,misserfolg
misserfolg,meiner
meiner,zeichnungen
zeichnungen,nr
nr,und
und,nr
nr,erwachsene
erwachsene,verstehen
verstehen,nie
nie,etwas
etwas,von
von,ganz
ganz,allein
allein,und
und,für
für,die
die,kinder
kinder,ist
ist,es
es,anstrengend
anstrengend,ihnen
ihnen,immer
immer,alles
alles,zu
zu,erklären
erklären,so
so,musste
musste,ich
ich,einen
einen,anderen
anderen,beruf
beruf,finden
finden,und
und,ich
ich,lernte
lernte,flugzeuge
flugzeuge,zu
zu,steuern
steuern,ich
ich,flog
flog,ein
ein,bisschen
bisschen,in
in,der
