trigram,freq
"('der', 'kleine', 'prinz')",133
"('sagte', 'der', 'kleine')",44
"('sagte', 'der', 'fuchs')",17
"('den', 'kleinen', 'prinzen')",14
"('guten', 'tag', 'sagte')",11
"('sich', 'der', 'kleine')",10
"('des', 'kleinen', 'prinzen')",9
"('auf', 'der', 'erde')",9
"('kleine', 'prinz', 'und')",8
"('sagte', 'der', 'könig')",8
"('was', 'machst', 'du')",7
"('fragte', 'der', 'kleine')",7
"('tag', 'sagte', 'der')",7
"('sagte', 'er', 'sich')",7
"('sagte', 'der', 'geograph')",7
"('sagte', 'die', 'schlange')",7
"('es', 'ist', 'die')",7
"('sagte', 'der', 'weichensteller')",7
"('und', 'der', 'kleine')",6
"('kleine', 'prinz', 'der')",6
"('aber', 'ich', 'habe')",6
"('in', 'der', 'wüste')",5
"('zeichne', 'mir', 'ein')",5
"('mir', 'ein', 'schaf')",5
"('aber', 'er', 'antwortete')",5
"('aber', 'ich', 'bin')",5
"('auf', 'dem', 'planeten')",5
"('er', 'den', 'kleinen')",5
"('kleine', 'prinz', 'ich')",5
"('sagte', 'sich', 'der')",5
"('wiederholte', 'der', 'kleine')",5
"('sagte', 'der', 'laternenanzünder')",5
"('wer', 'seid', 'ihr')",5
"('weil', 'sie', 'es')",5
"('sie', 'es', 'ist')",5
"('das', 'erste', 'mal')",4
"('so', 'habe', 'ich')",4
"('meilen', 'entfernt', 'von')",4
"('das', 'ist', 'nicht')",4
"('es', 'sich', 'um')",4
"('er', 'antwortete', 'mir')",4
"('fügte', 'er', 'hinzu')",4
"('kleine', 'prinz', 'das')",4
"('von', 'einer', 'frage')",4
"('wenn', 'er', 'sie')",4
"('einmal', 'gestellt', 'hatte')",4
"('ich', 'bin', 'ein')",4
"('nicht', 'wichtig', 'sein')",4
"('glücklich', 'zu', 'sein')",4
"('ich', 'konnte', 'mich')",4
"('konnte', 'mich', 'nicht')",4
"('man', 'weiß', 'ja')",4
"('weiß', 'ja', 'nie')",4
"('auf', 'den', 'weg')",4
"('kleine', 'prinz', 'schaute')",4
"('natürlich', 'sagte', 'der')",4
"('und', 'du', 'wirst')",4
"('die', 'erwachsenen', 'sind')",4
"('erwachsenen', 'sind', 'doch')",4
"('sind', 'doch', 'wirklich')",4
"('kleine', 'prinz', 'auf')",4
"('auf', 'seiner', 'reise')",4
"('er', 'sich', 'auf')",4
"('kleine', 'prinz', 'um')",4
"('ich', 'bin', 'mit')",4
"('bin', 'mit', 'ernst')",4
"('mit', 'ernst', 'bei')",4
"('ernst', 'bei', 'der')",4
"('bei', 'der', 'sache')",4
"('ich', 'bin', 'allein')",4
"('die', 'menschen', 'haben')",4
"('ich', 'werde', 'dich')",4
"('ist', 'die', 'ich')",4
"('wieder', 'lachte', 'er')",4
"('wenn', 'man', 'sich')",3
"('und', 'ich', 'habe')",3
"('ich', 'habe', 'sie')",3
"('bitte', 'zeichne', 'mir')",3
"('tausend', 'meilen', 'entfernt')",3
"('das', 'ist', 'ein')",3
"('nach', 'und', 'nach')",3
"('wie', 'du', 'bist')",3
"('aber', 'wenn', 'du')",3
"('es', 'ist', 'so')",3
"('nur', 'ein', 'einziges')",3
"('ein', 'einziges', 'mal')",3
"('auf', 'einem', 'planeten')",3
"('aber', 'der', 'kleine')",3
"('dem', 'planeten', 'des')",3
"('planeten', 'des', 'kleinen')",3
"('das', 'ist', 'eine')",3
"('er', 'sie', 'einmal')",3
"('sie', 'einmal', 'gestellt')",3
"('er', 'hat', 'noch')",3
"('kleine', 'prinz', 'war')",3
"('soll', 'nicht', 'wichtig')",3
"('auf', 'meinem', 'planeten')",3
"('es', 'ist', 'sehr')",3
"('zwei', 'oder', 'drei')",3
"('hatte', 'der', 'kleine')",3
"('sagte', 'die', 'blume')",3
"('als', 'er', 'den')",3
"('antwortete', 'der', 'kleine')",3
"('antwortete', 'der', 'könig')",3
"('prinz', 'der', 'niemals')",3
"('der', 'niemals', 'von')",3
"('niemals', 'von', 'einer')",3
"('einer', 'frage', 'abließ')",3
"('nicht', 'sagte', 'der')",3
"('auf', 'die', 'andere')",3
"('und', 'ich', 'werde')",3
"('seiner', 'reise', 'der')",3
"('kleine', 'prinz', 'sie')",3
"('fragte', 'er', 'den')",3
"('sich', 'auf', 'seiner')",3
"('vergessen', 'sagte', 'der')",3
"('die', 'sterne', 'ja')",3
"('und', 'was', 'machst')",3
"('machst', 'du', 'mit')",3
"('ein', 'bisschen', 'so')",3
"('ist', 'es', 'nicht')",3
"('sagte', 'er', 'noch')",3
"('drei', 'vulkane', 'die')",3
"('kleine', 'prinz', 'was')",3
"('das', 'kann', 'ich')",3
"('kann', 'ich', 'nicht')",3
"('ich', 'nicht', 'wissen')",3
"('nicht', 'wissen', 'sagte')",3
"('wissen', 'sagte', 'der')",3
"('auf', 'gut', 'glück')",3
"('die', 'schlange', 'der')",3
"('schlange', 'der', 'kleine')",3
"('in', 'den', 'himmel')",3
"('kleine', 'prinz', 'guten')",3
"('prinz', 'guten', 'tag')",3
"('antwortete', 'das', 'echo')",3
"('was', 'bedeutet', 'zähmen')",3
"('die', 'menschen', 'sagte')",3
"('menschen', 'sagte', 'der')",3
"('ein', 'kleiner', 'junge')",3
"('wenn', 'du', 'mich')",3
"('auf', 'der', 'ganzen')",3
"('der', 'ganzen', 'welt')",3
"('der', 'fuchs', 'aber')",3
"('habe', 'weil', 'sie')",3
"('prinz', 'um', 'sich')",3
"('um', 'sich', 'daran')",3
"('sich', 'daran', 'zu')",3
"('daran', 'zu', 'erinnern')",3
"('sagte', 'ich', 'zum')",3
"('ich', 'zum', 'kleinen')",3
"('zum', 'kleinen', 'prinzen')",3
"('brunnen', 'in', 'der')",3
"('auf', 'meine', 'frage')",3
"('mir', 'zu', 'trinken')",3
"('kleiner', 'kerl', 'ich')",3
"('es', 'wird', 'so')",3
"('werde', 'dich', 'nicht')",3
"('dich', 'nicht', 'verlassen')",3
"('als', 'ich', 'sechs')",2
"('ich', 'sechs', 'jahre')",2
"('sechs', 'jahre', 'alt')",2
"('jahre', 'alt', 'war')",2
"('ich', 'in', 'einem')",2
"('es', 'zeigte', 'eine')",2
"('zeigte', 'eine', 'riesenschlange')",2
"('eine', 'riesenschlange', 'die')",2
"('ist', 'das', 'bild')",2
"('meine', 'zeichnung', 'nr')",2
"('sah', 'so', 'aus')",2
"('habe', 'ich', 'also')",2
"('mich', 'nicht', 'mehr')",2
"('mit', 'sechs', 'jahren')",2
"('das', 'ist', 'sehr')",2
"('sich', 'in', 'der')",2
"('in', 'der', 'nacht')",2
"('ich', 'ihn', 'mit')",2
"('mit', 'dem', 'ich')",2
"('sechs', 'jahren', 'eine')",2
"('panne', 'in', 'der')",2
"('an', 'meinem', 'motor')",2
"('von', 'besiedeltem', 'gebiet')",2
"('euch', 'vorstellen', 'wie')",2
"('und', 'ich', 'sah')",2
"('wie', 'ein', 'kind')",2
"('ich', 'erinnerte', 'mich')",2
"('das', 'macht', 'nichts')",2
"('als', 'der', 'kleine')",2
"('das', 'ist', 'kein')",2
"('ein', 'schaf', 'das')",2
"('das', 'schaf', 'ist')",2
"('aber', 'ich', 'war')",2
"('ich', 'war', 'sehr')",2
"('habe', 'ich', 'den')",2
"('woher', 'er', 'kam')",2
"('er', 'das', 'erste')",2
"('da', 'fragte', 'er')",2
"('fragte', 'er', 'mich')",2
"('mich', 'was', 'ist')",2
"('das', 'ist', 'lustig')",2
"('kleine', 'prinz', 'brach')",2
"('dann', 'fügte', 'er')",2
"('einem', 'anderen', 'planeten')",2
"('antwortete', 'mir', 'nicht')",2
"('mir', 'nicht', 'er')",2
"('die', 'anderen', 'planeten')",2
"('ist', 'dass', 'sie')",2
"('und', 'wenn', 'du')",2
"('kleinen', 'prinzen', 'zu')",2
"('wenn', 'du', 'es')",2
"('du', 'es', 'nicht')",2
"('bemerkte', 'der', 'kleine')",2
"('ist', 'so', 'klein')",2
"('war', 'kaum', 'größer')",2
"('kaum', 'größer', 'als')",2
"('der', 'asteroid', 'b')",2
"('den', 'asteroiden', 'b')",2
"('er', 'wie', 'viel')",2
"('ich', 'habe', 'ein')",2
"('war', 'dass', 'er')",2
"('dass', 'er', 'sich')",2
"('er', 'sich', 'ein')",2
"('dann', 'werden', 'sie')",2
"('sie', 'mit', 'den')",2
"('mit', 'den', 'schultern')",2
"('die', 'das', 'leben')",2
"('das', 'leben', 'verstehen')",2
"('schon', 'sechs', 'jahre')",2
"('sechs', 'jahre', 'her')",2
"('ich', 'bin', 'nicht')",2
"('ich', 'ein', 'bisschen')",2
"('hier', 'ist', 'der')",2
"('ist', 'der', 'kleine')",2
"('kleine', 'prinz', 'zu')",2
"('aber', 'ich', 'weiß')",2
"('ich', 'weiß', 'nicht')",2
"('schon', 'ein', 'bisschen')",2
"('ein', 'bisschen', 'wie')",2
"('wie', 'die', 'erwachsenen')",2
"('die', 'erwachsenen', 'ich')",2
"('erfuhr', 'ich', 'am')",2
"('mit', 'den', 'affenbrotbäumen')",2
"('dass', 'schafe', 'sträucher')",2
"('schafe', 'sträucher', 'fressen')",2
"('kleinen', 'prinzen', 'darauf')",2
"('selbst', 'wenn', 'er')",2
"('es', 'gab', 'auf')",2
"('kleinen', 'prinzen', 'wie')",2
"('in', 'der', 'erde')",2
"('handelt', 'es', 'sich')",2
"('sich', 'um', 'den')",2
"('aber', 'wenn', 'es')",2
"('wenn', 'es', 'sich')",2
"('dann', 'muss', 'man')",2
"('sobald', 'man', 'sie')",2
"('man', 'nicht', 'mehr')",2
"('den', 'ganzen', 'planeten')",2
"('und', 'wenn', 'der')",2
"('morgens', 'aus', 'dem')",2
"('bei', 'mir', 'zuhause')",2
"('dann', 'ist', 'es')",2
"('sich', 'auf', 'einen')",2
"('ich', 'habe', 'es')",2
"('lachen', 'und', 'du')",2
"('siehst', 'du', 'die')",2
"('wann', 'immer', 'du')",2
"('ich', 'die', 'sonne')",2
"('du', 'an', 'dem')",2
"('kleine', 'prinz', 'antwortete')",2
"('ich', 'mit', 'dem')",2
"('nach', 'einem', 'augenblick')",2
"('einem', 'augenblick', 'stille')",2
"('nichts', 'ich', 'habe')",2
"('um', 'wichtige', 'dinge')",2
"('er', 'sah', 'mich')",2
"('sah', 'mich', 'an')",2
"('aber', 'er', 'fügte')",2
"('hat', 'noch', 'niemals')",2
"('noch', 'niemals', 'einen')",2
"('bin', 'ein', 'ernstzunehmender')",2
"('ein', 'ernstzunehmender', 'mann')",2
"('seit', 'tausenden', 'jahren')",2
"('sein', 'das', 'ist')",2
"('ich', 'eine', 'blume')",2
"('zu', 'sein', 'er')",2
"('ist', 'meine', 'blume')",2
