first,second,third
als,ich,sechs
ich,sechs,jahre
sechs,jahre,alt
jahre,alt,war
alt,war,habe
war,habe,ich
habe,ich,in
ich,in,einem
in,einem,buch
einem,buch,über
buch,über,den
über,den,urwald
den,urwald,das
urwald,das,den
das,den,titel
den,titel,erlebte
titel,erlebte,geschichten
erlebte,geschichten,trug
geschichten,trug,das
trug,das,erste
das,erste,mal
erste,mal,ein
mal,ein,wunderschönes
ein,wunderschönes,bild
wunderschönes,bild,gesehen
bild,gesehen,es
gesehen,es,zeigte
es,zeigte,eine
zeigte,eine,riesenschlange
eine,riesenschlange,die
riesenschlange,die,ein
die,ein,wildes
ein,wildes,tier
wildes,tier,verschlingt
tier,verschlingt,hier
verschlingt,hier,ist
hier,ist,das
ist,das,bild
das,bild,mal
bild,mal,nachgezeichnet
mal,nachgezeichnet,im
nachgezeichnet,im,buch
im,buch,hieß
buch,hieß,es
hieß,es,riesenschlangen
es,riesenschlangen,verschlingen
riesenschlangen,verschlingen,ihre
verschlingen,ihre,beute
ihre,beute,in
beute,in,einem
in,einem,stück
einem,stück,ohne
stück,ohne,sie
ohne,sie,zu
sie,zu,zerkauen
zu,zerkauen,danach
zerkauen,danach,können
danach,können,sie
können,sie,sich
sie,sich,nicht
sich,nicht,mehr
nicht,mehr,bewegen
mehr,bewegen,und
bewegen,und,halten
und,halten,sechs
halten,sechs,monate
sechs,monate,lang
monate,lang,verdauungsschlaf
lang,verdauungsschlaf,so
verdauungsschlaf,so,habe
so,habe,ich
habe,ich,viel
ich,viel,über
viel,über,dschungelabenteuer
über,dschungelabenteuer,nachgedacht
dschungelabenteuer,nachgedacht,und
nachgedacht,und,dann
und,dann,gelang
dann,gelang,mir
gelang,mir,mit
mir,mit,einem
mit,einem,farbstift
einem,farbstift,meine
farbstift,meine,zeichnung
meine,zeichnung,nr
zeichnung,nr,sie
nr,sie,sah
sie,sah,so
sah,so,aus
so,aus,ich
aus,ich,zeigte
ich,zeigte,mein
zeigte,mein,meisterwerk
mein,meisterwerk,den
meisterwerk,den,erwachsenen
den,erwachsenen,und
erwachsenen,und,habe
und,habe,sie
habe,sie,gefragt
sie,gefragt,ob
gefragt,ob,sie
ob,sie,vor
sie,vor,meiner
vor,meiner,zeichnung
meiner,zeichnung,angst
zeichnung,angst,hätten
angst,hätten,sie
hätten,sie,haben
sie,haben,mir
haben,mir,geantwortet
mir,geantwortet,warum
geantwortet,warum,sollte
warum,sollte,man
sollte,man,vor
man,vor,einem
vor,einem,hut
einem,hut,angst
hut,angst,haben
angst,haben,dabei
haben,dabei,war
dabei,war,auf
war,auf,meinem
auf,meinem,bild
meinem,bild,gar
bild,gar,kein
gar,kein,hut
kein,hut,es
hut,es,zeigte
es,zeigte,eine
zeigte,eine,riesenschlange
eine,riesenschlange,die
riesenschlange,die,einen
die,einen,elefanten
einen,elefanten,verdaut
elefanten,verdaut,so
verdaut,so,habe
so,habe,ich
habe,ich,also
ich,also,das
also,das,innere
das,innere,der
innere,der,schlage
der,schlage,gezeichnet
schlage,gezeichnet,um
gezeichnet,um,es
um,es,den
es,den,großen
den,großen,verständlich
großen,verständlich,zu
verständlich,zu,machen
zu,machen,immer
machen,immer,muss
immer,muss,man
muss,man,ihnen
man,ihnen,alles
ihnen,alles,erklären
alles,erklären,meine
erklären,meine,zeichnung
meine,zeichnung,nr
zeichnung,nr,sah
nr,sah,so
sah,so,aus
so,aus,die
aus,die,erwachsenen
die,erwachsenen,haben
erwachsenen,haben,mir
haben,mir,geraten
mir,geraten,mich
geraten,mich,nicht
mich,nicht,mehr
nicht,mehr,mit
mehr,mit,offenen
mit,offenen,oder
offenen,oder,geschlossenen
oder,geschlossenen,riesenschlangen
geschlossenen,riesenschlangen,zu
riesenschlangen,zu,beschäftigen
zu,beschäftigen,sondern
beschäftigen,sondern,mich
sondern,mich,stattdessen
mich,stattdessen,mehr
stattdessen,mehr,für
mehr,für,geografie
für,geografie,geschichte
geografie,geschichte,mathe
geschichte,mathe,und
mathe,und,grammatik
und,grammatik,zu
grammatik,zu,interessieren
zu,interessieren,so
interessieren,so,gab
so,gab,ich
gab,ich,mit
ich,mit,sechs
mit,sechs,jahren
sechs,jahren,meine
jahren,meine,vielversprechende
meine,vielversprechende,malerkarriere
vielversprechende,malerkarriere,auf
malerkarriere,auf,derart
auf,derart,entmutigt
derart,entmutigt,war
entmutigt,war,ich
war,ich,vom
ich,vom,misserfolg
vom,misserfolg,meiner
misserfolg,meiner,zeichnungen
meiner,zeichnungen,nr
zeichnungen,nr,und
nr,und,nr
und,nr,erwachsene
nr,erwachsene,verstehen
erwachsene,verstehen,nie
verstehen,nie,etwas
nie,etwas,von
etwas,von,ganz
von,ganz,allein
ganz,allein,und
allein,und,für
und,für,die
für,die,kinder
die,kinder,ist
kinder,ist,es
ist,es,anstrengend
es,anstrengend,ihnen
anstrengend,ihnen,immer
ihnen,immer,alles
immer,alles,zu
alles,zu,erklären
zu,erklären,so
erklären,so,musste
so,musste,ich
musste,ich,einen
ich,einen,anderen
einen,anderen,beruf
anderen,beruf,finden
beruf,finden,und
finden,und,ich
und,ich,lernte
ich,lernte,flugzeuge
lernte,flugzeuge,zu
flugzeuge,zu,steuern
zu,steuern,ich
steuern,ich,flog
ich,flog,ein
flog,ein,bisschen
ein,bisschen,in
bisschen,in,der
in,der,welt
der,welt,herum
welt,herum,und
herum,und,es
und,es,stimmt
es,stimmt,dabei
stimmt,dabei,half
dabei,half,mir
half,mir,die
mir,die,geographie
die,geographie,auf
geographie,auf,den
auf,den,ersten
den,ersten,blick
ersten,blick,konnte
blick,konnte,ich
konnte,ich,china
ich,china,von
china,von,arizona
von,arizona,unterscheiden
arizona,unterscheiden,das
unterscheiden,das,ist
das,ist,sehr
ist,sehr,nützlich
sehr,nützlich,wenn
nützlich,wenn,man
wenn,man,sich
man,sich,in
sich,in,der
in,der,nacht
der,nacht,verirrt
nacht,verirrt,hat
verirrt,hat,so
hat,so,hatte
so,hatte,ich
hatte,ich,im
