quadrigram,freq
"('sagte', 'der', 'kleine', 'prinz')",44
"('sich', 'der', 'kleine', 'prinz')",10
"('der', 'kleine', 'prinz', 'und')",8
"('fragte', 'der', 'kleine', 'prinz')",7
"('guten', 'tag', 'sagte', 'der')",7
"('und', 'der', 'kleine', 'prinz')",6
"('der', 'kleine', 'prinz', 'der')",6
"('zeichne', 'mir', 'ein', 'schaf')",5
"('er', 'den', 'kleinen', 'prinzen')",5
"('der', 'kleine', 'prinz', 'ich')",5
"('sagte', 'sich', 'der', 'kleine')",5
"('wiederholte', 'der', 'kleine', 'prinz')",5
"('weil', 'sie', 'es', 'ist')",5
"('der', 'kleine', 'prinz', 'das')",4
"('ich', 'konnte', 'mich', 'nicht')",4
"('man', 'weiß', 'ja', 'nie')",4
"('der', 'kleine', 'prinz', 'schaute')",4
"('die', 'erwachsenen', 'sind', 'doch')",4
"('erwachsenen', 'sind', 'doch', 'wirklich')",4
"('der', 'kleine', 'prinz', 'auf')",4
"('tag', 'sagte', 'der', 'kleine')",4
"('der', 'kleine', 'prinz', 'um')",4
"('ich', 'bin', 'mit', 'ernst')",4
"('bin', 'mit', 'ernst', 'bei')",4
"('mit', 'ernst', 'bei', 'der')",4
"('ernst', 'bei', 'der', 'sache')",4
"('sie', 'es', 'ist', 'die')",4
"('es', 'ist', 'die', 'ich')",4
"('bitte', 'zeichne', 'mir', 'ein')",3
"('tausend', 'meilen', 'entfernt', 'von')",3
"('nur', 'ein', 'einziges', 'mal')",3
"('aber', 'der', 'kleine', 'prinz')",3
"('auf', 'dem', 'planeten', 'des')",3
"('dem', 'planeten', 'des', 'kleinen')",3
"('planeten', 'des', 'kleinen', 'prinzen')",3
"('wenn', 'er', 'sie', 'einmal')",3
"('er', 'sie', 'einmal', 'gestellt')",3
"('sie', 'einmal', 'gestellt', 'hatte')",3
"('der', 'kleine', 'prinz', 'war')",3
"('soll', 'nicht', 'wichtig', 'sein')",3
"('hatte', 'der', 'kleine', 'prinz')",3
"('als', 'er', 'den', 'kleinen')",3
"('antwortete', 'der', 'kleine', 'prinz')",3
"('kleine', 'prinz', 'der', 'niemals')",3
"('prinz', 'der', 'niemals', 'von')",3
"('der', 'niemals', 'von', 'einer')",3
"('niemals', 'von', 'einer', 'frage')",3
"('von', 'einer', 'frage', 'abließ')",3
"('auf', 'seiner', 'reise', 'der')",3
"('der', 'kleine', 'prinz', 'sie')",3
"('sagte', 'er', 'sich', 'auf')",3
"('er', 'sich', 'auf', 'seiner')",3
"('sich', 'auf', 'seiner', 'reise')",3
"('und', 'was', 'machst', 'du')",3
"('was', 'machst', 'du', 'mit')",3
"('der', 'kleine', 'prinz', 'was')",3
"('das', 'kann', 'ich', 'nicht')",3
"('kann', 'ich', 'nicht', 'wissen')",3
"('ich', 'nicht', 'wissen', 'sagte')",3
"('nicht', 'wissen', 'sagte', 'der')",3
"('wissen', 'sagte', 'der', 'geograph')",3
"('sagte', 'die', 'schlange', 'der')",3
"('die', 'schlange', 'der', 'kleine')",3
"('schlange', 'der', 'kleine', 'prinz')",3
"('der', 'kleine', 'prinz', 'guten')",3
"('kleine', 'prinz', 'guten', 'tag')",3
"('prinz', 'guten', 'tag', 'sagte')",3
"('die', 'menschen', 'sagte', 'der')",3
"('natürlich', 'sagte', 'der', 'fuchs')",3
"('auf', 'der', 'ganzen', 'welt')",3
"('habe', 'weil', 'sie', 'es')",3
"('kleine', 'prinz', 'um', 'sich')",3
"('prinz', 'um', 'sich', 'daran')",3
"('um', 'sich', 'daran', 'zu')",3
"('sich', 'daran', 'zu', 'erinnern')",3
"('sagte', 'ich', 'zum', 'kleinen')",3
"('ich', 'zum', 'kleinen', 'prinzen')",3
"('ich', 'werde', 'dich', 'nicht')",3
"('werde', 'dich', 'nicht', 'verlassen')",3
"('als', 'ich', 'sechs', 'jahre')",2
"('ich', 'sechs', 'jahre', 'alt')",2
"('sechs', 'jahre', 'alt', 'war')",2
"('es', 'zeigte', 'eine', 'riesenschlange')",2
"('zeigte', 'eine', 'riesenschlange', 'die')",2
"('so', 'habe', 'ich', 'also')",2
"('panne', 'in', 'der', 'wüste')",2
"('er', 'das', 'erste', 'mal')",2
"('der', 'kleine', 'prinz', 'brach')",2
"('dann', 'fügte', 'er', 'hinzu')",2
"('aber', 'er', 'antwortete', 'mir')",2
"('er', 'antwortete', 'mir', 'nicht')",2
"('antwortete', 'mir', 'nicht', 'er')",2
"('bemerkte', 'der', 'kleine', 'prinz')",2
"('war', 'kaum', 'größer', 'als')",2
"('die', 'das', 'leben', 'verstehen')",2
"('schon', 'sechs', 'jahre', 'her')",2
"('hier', 'ist', 'der', 'kleine')",2
"('ist', 'der', 'kleine', 'prinz')",2
"('der', 'kleine', 'prinz', 'zu')",2
"('dass', 'schafe', 'sträucher', 'fressen')",2
"('den', 'kleinen', 'prinzen', 'darauf')",2
"('des', 'kleinen', 'prinzen', 'wie')",2
"('aber', 'wenn', 'es', 'sich')",2
"('wenn', 'es', 'sich', 'um')",2
"('der', 'kleine', 'prinz', 'antwortete')",2
"('nach', 'einem', 'augenblick', 'stille')",2
"('er', 'sah', 'mich', 'an')",2
"('er', 'hat', 'noch', 'niemals')",2
"('ich', 'bin', 'ein', 'ernstzunehmender')",2
"('bin', 'ein', 'ernstzunehmender', 'mann')",2
"('glücklich', 'zu', 'sein', 'er')",2
"('das', 'schaf', 'die', 'blume')",2
"('der', 'kleine', 'prinz', 'sah')",2
"('ich', 'bin', 'noch', 'ganz')",2
"('der', 'kleine', 'prinz', 'konnte')",2
"('der', 'kleine', 'prinz', 'eine')",2
"('aber', 'ich', 'konnte', 'mich')",2
"('seinen', 'planeten', 'auf', 'die')",2
"('versuche', 'glücklich', 'zu', 'sein')",2
"('wollte', 'nicht', 'dass', 'er')",2
"('freute', 'er', 'sich', 'als')",2
"('er', 'sich', 'als', 'er')",2
"('sich', 'als', 'er', 'den')",2
"('den', 'kleinen', 'prinzen', 'sah')",2
"('dann', 'befehle', 'ich', 'dir')",2
"('einer', 'frage', 'abließ', 'wenn')",2
"('frage', 'abließ', 'wenn', 'er')",2
"('abließ', 'wenn', 'er', 'sie')",2
"('sagte', 'der', 'könig', 'ich')",2
"('ihn', 'der', 'kleine', 'prinz')",2
"('gab', 'der', 'säufer', 'zu')",2
"('der', 'säufer', 'zu', 'und')",2
"('machte', 'sich', 'der', 'kleine')",2
"('auf', 'und', 'davon', 'die')",2
"('und', 'davon', 'die', 'erwachsenen')",2
"('davon', 'die', 'erwachsenen', 'sind')",2
"('ich', 'habe', 'keine', 'zeit')",2
"('bei', 'der', 'sache', 'ich')",2
"('und', 'was', 'bringt', 'es')",2
"('was', 'bringt', 'es', 'dir')",2
"('der', 'kleine', 'prinz', 'er')",2
"('niemandem', 'gehört', 'so', 'gehört')",2
"('das', 'stimmt', 'wohl', 'sagte')",2
"('stimmt', 'wohl', 'sagte', 'der')",2
"('der', 'kleine', 'prinz', 'es')",2
"('eine', 'straßenlaterne', 'und', 'einen')",2
"('straßenlaterne', 'und', 'einen', 'laternenanzünder')",2
"('wenn', 'er', 'seine', 'laterne')",2
"('guten', 'abend', 'und', 'er')",2
"('abend', 'und', 'er', 'zündete')",2
"('guten', 'tag', 'und', 'er')",2
"('was', 'ist', 'das', 'für')",2
"('sagte', 'der', 'geograph', 'aber')",2
"('der', 'kleine', 'prinz', 'ist')",2
"('kleine', 'prinz', 'was', 'bedeutet')",2
"('von', 'baldigem', 'verschwinden', 'bedroht')",2
"('sie', 'hat', 'nur', 'vier')",2
"('dornen', 'um', 'sich', 'gegen')",2
"('um', 'sich', 'gegen', 'die')",2
"('sich', 'gegen', 'die', 'welt')",2
"('gegen', 'die', 'welt', 'zu')",2
"('waren', 'die', 'anzünder', 'in')",2
"('der', 'einzigen', 'laterne', 'am')",2
"('was', 'machst', 'du', 'hier')",2
"('sagte', 'die', 'schlange', 'und')",2
"('die', 'schlange', 'und', 'sie')",2
"('schlange', 'und', 'sie', 'schwiegen')",2
"('wo', 'sind', 'die', 'menschen')",2
"('kleine', 'prinz', 'schaute', 'sie')",2
"('der', 'kleine', 'prinz', 'aber')",2
"('der', 'kleine', 'prinz', 'höflich')",2
"('guten', 'tag', 'sagte', 'er')",2
"('guten', 'tag', 'guten', 'tag')",2
"('wer', 'seid', 'ihr', 'wer')",2
"('seid', 'ihr', 'wer', 'seid')",2
"('ihr', 'wer', 'seid', 'ihr')",2
"('ich', 'bin', 'allein', 'ich')",2
"('bin', 'allein', 'ich', 'bin')",2
"('allein', 'ich', 'bin', 'allein')",2
"('die', 'menschen', 'haben', 'keine')",2
"('du', 'sagte', 'der', 'kleine')",2
"('der', 'kleine', 'prinz', 'du')",2
"('sagte', 'der', 'fuchs', 'ich')",2
"('menschen', 'sagte', 'der', 'kleine')",2
"('sagte', 'der', 'fuchs', 'es')",2
"('aber', 'wenn', 'du', 'mich')",2
"('wenn', 'du', 'mich', 'zähmst')",2
"('der', 'ganzen', 'welt', 'einmalig')",2
"('ganzen', 'welt', 'einmalig', 'sein')",2
"('welt', 'einmalig', 'sein', 'ich')",2
"('vergessen', 'sagte', 'der', 'fuchs')",2
"('sagte', 'der', 'fuchs', 'aber')",2
"('der', 'fuchs', 'aber', 'du')",2
"('das', 'wesentliche', 'ist', 'für')",2
"('wesentliche', 'ist', 'für', 'die')",2
"('ist', 'für', 'die', 'augen')",2
"('für', 'die', 'augen', 'unsichtbar')",2
"('es', 'ist', 'die', 'zeit')",2
"('ist', 'die', 'zeit', 'die')",2
"('die', 'sie', 'so', 'bedeutsam')",2
"('sie', 'so', 'bedeutsam', 'macht')",2
"('macht', 'sagte', 'der', 'kleine')",2
"('ich', 'bin', 'verantwortlich', 'für')",2
"('und', 'ein', 'erleuchteter', 'schnellzug')",2
"('sagte', 'der', 'weichensteller', 'und')",2
"('sagte', 'der', 'weichensteller', 'sie')",2
"('ganz', 'in', 'ruhe', 'zu')",2
"('in', 'ruhe', 'zu', 'einem')",2
"('ruhe', 'zu', 'einem', 'brunnen')",2
"('zu', 'einem', 'brunnen', 'laufen')",2
"('zu', 'trinken', 'und', 'ich')",2
"('aber', 'er', 'antwortete', 'nicht')",2
"('er', 'antwortete', 'nicht', 'auf')",2
"('antwortete', 'nicht', 'auf', 'meine')",2
"('nicht', 'auf', 'meine', 'frage')",2
"('auf', 'meine', 'frage', 'er')",2
"('meine', 'frage', 'er', 'sagte')",2
"('er', 'setzte', 'sich', 'hin')",2
"('stille', 'sagte', 'er', 'noch')",2
"('als', 'ich', 'ein', 'kleiner')",2
"('ich', 'ein', 'kleiner', 'junge')",2
"('ein', 'kleiner', 'junge', 'war')",2
"('und', 'wieder', 'lachte', 'er')",2
"('er', 'sagte', 'weißt', 'du')",2
"('der', 'kleine', 'prinz', 'errötete')",2
"('natürlich', 'es', 'ist', 'so')",2
"('es', 'ist', 'so', 'wie')",2
"('ist', 'so', 'wie', 'mit')",2
"('nachts', 'in', 'den', 'himmel')",2
"('wie', 'mit', 'dem', 'wasser')",2
"('mit', 'dem', 'wasser', 'was')",2
"('du', 'wirst', 'sterne', 'haben')",2
"('weil', 'ich', 'auf', 'einem')",2
"('ich', 'auf', 'einem', 'von')",2
"('auf', 'einem', 'von', 'ihnen')",2
"('mal', 'sage', 'ich', 'mir')",2
"('jahre', 'alt', 'war', 'habe')",1
"('alt', 'war', 'habe', 'ich')",1
"('war', 'habe', 'ich', 'in')",1
"('habe', 'ich', 'in', 'einem')",1
"('ich', 'in', 'einem', 'buch')",1
"('in', 'einem', 'buch', 'über')",1
"('einem', 'buch', 'über', 'den')",1
"('buch', 'über', 'den', 'urwald')",1
"('über', 'den', 'urwald', 'das')",1
"('den', 'urwald', 'das', 'den')",1
"('urwald', 'das', 'den', 'titel')",1
"('das', 'den', 'titel', 'erlebte')",1
"('den', 'titel', 'erlebte', 'geschichten')",1
"('titel', 'erlebte', 'geschichten', 'trug')",1
"('erlebte', 'geschichten', 'trug', 'das')",1
"('geschichten', 'trug', 'das', 'erste')",1
"('trug', 'das', 'erste', 'mal')",1
"('das', 'erste', 'mal', 'ein')",1
"('erste', 'mal', 'ein', 'wunderschönes')",1
"('mal', 'ein', 'wunderschönes', 'bild')",1
"('ein', 'wunderschönes', 'bild', 'gesehen')",1
"('wunderschönes', 'bild', 'gesehen', 'es')",1
"('bild', 'gesehen', 'es', 'zeigte')",1
"('gesehen', 'es', 'zeigte', 'eine')",1
"('eine', 'riesenschlange', 'die', 'ein')",1
"('riesenschlange', 'die', 'ein', 'wildes')",1
"('die', 'ein', 'wildes', 'tier')",1
"('ein', 'wildes', 'tier', 'verschlingt')",1
"('wildes', 'tier', 'verschlingt', 'hier')",1
"('tier', 'verschlingt', 'hier', 'ist')",1
"('verschlingt', 'hier', 'ist', 'das')",1
"('hier', 'ist', 'das', 'bild')",1
"('ist', 'das', 'bild', 'mal')",1
"('das', 'bild', 'mal', 'nachgezeichnet')",1
"('bild', 'mal', 'nachgezeichnet', 'im')",1
"('mal', 'nachgezeichnet', 'im', 'buch')",1
"('nachgezeichnet', 'im', 'buch', 'hieß')",1
"('im', 'buch', 'hieß', 'es')",1
"('buch', 'hieß', 'es', 'riesenschlangen')",1
"('hieß', 'es', 'riesenschlangen', 'verschlingen')",1
"('es', 'riesenschlangen', 'verschlingen', 'ihre')",1
"('riesenschlangen', 'verschlingen', 'ihre', 'beute')",1
"('verschlingen', 'ihre', 'beute', 'in')",1
"('ihre', 'beute', 'in', 'einem')",1
"('beute', 'in', 'einem', 'stück')",1
"('in', 'einem', 'stück', 'ohne')",1
"('einem', 'stück', 'ohne', 'sie')",1
"('stück', 'ohne', 'sie', 'zu')",1
"('ohne', 'sie', 'zu', 'zerkauen')",1
"('sie', 'zu', 'zerkauen', 'danach')",1
"('zu', 'zerkauen', 'danach', 'können')",1
"('zerkauen', 'danach', 'können', 'sie')",1
"('danach', 'können', 'sie', 'sich')",1
"('können', 'sie', 'sich', 'nicht')",1
"('sie', 'sich', 'nicht', 'mehr')",1
"('sich', 'nicht', 'mehr', 'bewegen')",1
"('nicht', 'mehr', 'bewegen', 'und')",1
"('mehr', 'bewegen', 'und', 'halten')",1
"('bewegen', 'und', 'halten', 'sechs')",1
"('und', 'halten', 'sechs', 'monate')",1
"('halten', 'sechs', 'monate', 'lang')",1
"('sechs', 'monate', 'lang', 'verdauungsschlaf')",1
"('monate', 'lang', 'verdauungsschlaf', 'so')",1
"('lang', 'verdauungsschlaf', 'so', 'habe')",1
"('verdauungsschlaf', 'so', 'habe', 'ich')",1
"('so', 'habe', 'ich', 'viel')",1
