first,second,third,fourth
als,ich,sechs,jahre
ich,sechs,jahre,alt
sechs,jahre,alt,war
jahre,alt,war,habe
alt,war,habe,ich
war,habe,ich,in
habe,ich,in,einem
ich,in,einem,buch
in,einem,buch,über
einem,buch,über,den
buch,über,den,urwald
über,den,urwald,das
den,urwald,das,den
urwald,das,den,titel
das,den,titel,erlebte
den,titel,erlebte,geschichten
titel,erlebte,geschichten,trug
erlebte,geschichten,trug,das
geschichten,trug,das,erste
trug,das,erste,mal
das,erste,mal,ein
erste,mal,ein,wunderschönes
mal,ein,wunderschönes,bild
ein,wunderschönes,bild,gesehen
wunderschönes,bild,gesehen,es
bild,gesehen,es,zeigte
gesehen,es,zeigte,eine
es,zeigte,eine,riesenschlange
zeigte,eine,riesenschlange,die
eine,riesenschlange,die,ein
riesenschlange,die,ein,wildes
die,ein,wildes,tier
ein,wildes,tier,verschlingt
wildes,tier,verschlingt,hier
tier,verschlingt,hier,ist
verschlingt,hier,ist,das
hier,ist,das,bild
ist,das,bild,mal
das,bild,mal,nachgezeichnet
bild,mal,nachgezeichnet,im
mal,nachgezeichnet,im,buch
nachgezeichnet,im,buch,hieß
im,buch,hieß,es
buch,hieß,es,riesenschlangen
hieß,es,riesenschlangen,verschlingen
es,riesenschlangen,verschlingen,ihre
riesenschlangen,verschlingen,ihre,beute
verschlingen,ihre,beute,in
ihre,beute,in,einem
beute,in,einem,stück
in,einem,stück,ohne
einem,stück,ohne,sie
stück,ohne,sie,zu
ohne,sie,zu,zerkauen
sie,zu,zerkauen,danach
zu,zerkauen,danach,können
zerkauen,danach,können,sie
danach,können,sie,sich
können,sie,sich,nicht
sie,sich,nicht,mehr
sich,nicht,mehr,bewegen
nicht,mehr,bewegen,und
mehr,bewegen,und,halten
bewegen,und,halten,sechs
und,halten,sechs,monate
halten,sechs,monate,lang
sechs,monate,lang,verdauungsschlaf
monate,lang,verdauungsschlaf,so
lang,verdauungsschlaf,so,habe
verdauungsschlaf,so,habe,ich
so,habe,ich,viel
habe,ich,viel,über
ich,viel,über,dschungelabenteuer
viel,über,dschungelabenteuer,nachgedacht
über,dschungelabenteuer,nachgedacht,und
dschungelabenteuer,nachgedacht,und,dann
nachgedacht,und,dann,gelang
und,dann,gelang,mir
dann,gelang,mir,mit
gelang,mir,mit,einem
mir,mit,einem,farbstift
mit,einem,farbstift,meine
einem,farbstift,meine,zeichnung
farbstift,meine,zeichnung,nr
meine,zeichnung,nr,sie
zeichnung,nr,sie,sah
nr,sie,sah,so
sie,sah,so,aus
sah,so,aus,ich
so,aus,ich,zeigte
aus,ich,zeigte,mein
ich,zeigte,mein,meisterwerk
zeigte,mein,meisterwerk,den
mein,meisterwerk,den,erwachsenen
meisterwerk,den,erwachsenen,und
den,erwachsenen,und,habe
erwachsenen,und,habe,sie
