word,freq
als,65
ich,494
sechs,10
jahre,7
alt,5
war,91
habe,62
in,81
einem,42
buch,5
über,31
den,121
urwald,2
das,197
titel,1
erlebte,1
geschichten,1
trug,2
erste,5
mal,38
ein,162
wunderschönes,1
bild,7
gesehen,10
es,198
zeigte,5
eine,78
riesenschlange,5
die,297
wildes,1
tier,2
verschlingt,1
hier,29
ist,203
nachgezeichnet,1
im,34
hieß,1
riesenschlangen,4
verschlingen,1
ihre,12
beute,1
stück,2
ohne,13
sie,220
zu,183
zerkauen,1
danach,2
können,12
sich,129
nicht,180
mehr,19
bewegen,1
und,299
halten,4
monate,1
lang,4
verdauungsschlaf,1
so,124
viel,23
dschungelabenteuer,1
nachgedacht,1
dann,59
gelang,2
mir,100
mit,76
farbstift,2
meine,32
zeichnung,7
nr,5
sah,19
aus,39
mein,36
meisterwerk,1
erwachsenen,15
gefragt,1
ob,7
vor,24
meiner,11
angst,9
hätten,3
haben,33
geantwortet,3
warum,15
sollte,4
man,96
hut,7
dabei,10
auf,114
meinem,11
gar,11
kein,12
einen,75
elefanten,4
verdaut,1
also,21
innere,1
der,423
schlage,1
gezeichnet,5
um,64
großen,7
verständlich,1
machen,12
immer,26
muss,25
ihnen,28
alles,16
erklären,3
geraten,1
mich,95
offenen,1
oder,29
geschlossenen,4
beschäftigen,3
sondern,5
stattdessen,1
für,70
geografie,1
geschichte,8
mathe,1
grammatik,2
interessieren,2
gab,13
jahren,9
vielversprechende,1
malerkarriere,2
derart,3
entmutigt,1
vom,9
misserfolg,1
zeichnungen,1
erwachsene,4
verstehen,13
nie,21
etwas,20
von,77
ganz,47
allein,13
kinder,7
anstrengend,1
musste,8
anderen,14
beruf,3
finden,7
lernte,4
flugzeuge,1
steuern,1
flog,1
bisschen,17
welt,11
herum,1
stimmt,5
half,1
geographie,2
ersten,4
blick,3
konnte,14
china,2
arizona,1
unterscheiden,2
sehr,40
nützlich,3
wenn,81
nacht,12
verirrt,3
hat,37
hatte,47
laufe,1
meines,4
lebens,1
vielen,1
ernsthaften,1
leuten,1
tun,6
bei,35
gelebt,1
nähe,2
betrachtet,2
aber,134
meinung,3
deshalb,1
sonderlich,5
verbessert,1
traf,2
heller,1
vorkam,1
testete,1
ihn,38
wollte,13
wissen,9
er,273
wirklich,16
schlau,2
erhielt,1
antwort,4
sprach,3
weder,4
noch,46
sternen,7
ließ,7
bridge,1
golf,1
politik,1
krawatten,1
zufrieden,5
vernünftigen,2
mann,9
treffen,1
lebte,3
jemanden,4
dem,51
hätte,13
sprechen,3
bis,9
panne,3
wüste,14
sahara,2
irgendetwas,2
an,67
motor,3
kaputt,1
gegangen,1
weil,24
mechaniker,1
passagiere,1
bereitete,1
darauf,9
schwierige,1
reparatur,2
vorzunehmen,1
ging,4
leben,11
tod,1
trinkwasser,2
knapp,2
acht,2
tage,5
am,18
abend,10
schlief,1
